,KCH,KCM,SKJS,XF,XS
2018,NUCL420403,原子核物理实验方法,"张清民,臧航",3.0,48.0
2019,POLI102414,形策2025春（专题十四：新一轮科技革命的趋势与影响）刘珈彤,刘珈彤,0.0,2.0
2020,MLMD199314,习近平新时代中国特色社会主义思想概论,郭小铭,3.0,48.0
2021,AUTO545405,移动机器人,吕娜,2.0,32.0
2022,BIME411813,生物医学传感与仪器专题实验,"李津,张博,吴敏",1.0,32.0
2023,BASM311940,病理学,"孙颖,崔刚,刘甲",2.0,40.0
2024,FINA441219,证券投资学,邢光远,2.0,32.0
2025,COMP200827,大学计算机 - 数据分析,张伟,3.0,52.0
2026,ELEC523504,电力系统仿真理论与实践,"张润凡,李宇骏",2.0,40.0
2027,BIME413013,生物医学工程概论,张建保,2.0,32.0
2028,ENGL531612,英美戏剧,KALAYCI HASAN HUSEYIN,2.0,32.0
2029,CLIM406348,毕业考试,裴丹丹,0.0,0.0
2030,FRAN541112,法语报刊选读,BAROT OLIVIER CYRIL,1.0,16.0
2031,STOM403848,儿童牙病学Ⅱ,"肖刚,董宁,刘飞",2.0,44.0
2032,MATL200102,工程材料基础,"刘森辉,牛敏",3.0,56.0
2033,ELEC423004,电气材料基础,肖冰,2.0,32.0
2034,MATH543407,组合与图论,鲁红亮,2.0,32.0
2035,BASM500140,断面解剖学,"钱亦华,冯改丰,张建水,杨维娜,胡明,杨蓬勃,陈新林,高菱鸽",2.0,32.0
2036,NUCL420603,电离辐射剂量学,"王炫,刘书焕,邬良芃",2.5,52.0
2037,MATL401402,高分子化学与物理实验,张启路,1.0,32.0
2038,ARCH500122,环境心理学,党纤纤,1.0,24.0
2039,FINA420819,公司金融,李倩,2.0,32.0
2040,MATH200327,概率统计与随机过程,"吕刚明,赖欣",4.0,64.0
2041,POLI102414,形策2025春（专题十四：新一轮科技革命的趋势与影响）刘珈彤,刘珈彤,0.0,2.0
2042,CHEM250509,普通化学原理-2,胡敏,3.0,64.0
2043,AUTO545905,导航与制导原理,兰剑,2.0,32.0
2044,CLIM402048,口腔科学,"姚天华,程政,乔虎,陈诚,程百祥,李珏丹,杨利洒,赵华翔,屈凌寒,崔敏",1.5,32.0
2045,HIST300140,医学史,"宋彬,王明旭",1.5,24.0
2046,INFT533005,工程与社会,张育,0.5,8.0
2047,MLMD403714,马克思主义哲学经典著作选读,"燕连福,李重,苏玉波,郑冬芳,王维国",3.0,48.0
2048,COMP500327,密码分析学,李吉亮,2.0,32.0
2049,MATH325107,概率论,程晓青,4.0,64.0
2050,CLIM400448,精神病学,"王崴,马现仓,陈云春,郭丽阳,杨小波,朱峰",1.5,32.0
2051,MLMD196614,马克思主义基本原理,王哲,3.0,48.0
2052,FINA440919,中央银行学,景薇,2.0,32.0
2053,CLIM408948,神经与精神疾病,"张茹,王虎清,孙宏,刘璟洁,卜宁,展淑琴,张欢,姚丽,王亚萍,高珂",3.0,60.0
2054,CLIM500148,临床病理学,"宫惠琳,张冠军,王鸿雁,曹培龙,邓元,蒋依娜,刘希,梁华,隋燕霞",1.5,24.0
2055,JZSJ900522,创新创业实践III,戴靓华,2.0,80.0
2056,PHED200250,预科体育2,彭麟凯,0.5,32.0
2057,ENGL200612,交流与表达（少年班）2,成旻,2.0,32.0
2058,FRAN444612,基础法语精读II-2,"李文君,樊静薇",8.0,128.0
2059,EELC300227,数字逻辑电路实验Ⅱ,雷冰洁,1.0,32.0
2060,POLI102614,形策2025春（专题六：当前我国社会思潮新趋势及其影响）高飞,高飞,0.0,2.0
2061,POLI103014,形策2025春（专题十二：新一轮科技革命的趋势与影响）岳潇,岳潇,0.0,2.0
2062,BIME412413,医学智能诊断,"许夏瑜,李斌",2.0,44.0
2063,CIVL421622,结构力学-1,张玲玲,4.0,64.0
2064,ARTS314210,Design Thinking and Methods,冯伟,2.0,32.0
2065,MLMD196614,马克思主义基本原理,李天姿,3.0,48.0
2066,MAGT573908,消费者行为学,"杨林岩,刘野逸,刘园园",2.0,32.0
2067,CLIM301348,耳鼻咽喉科学,"任晓勇,张滟,高滢,张燕妮,闫静",1.5,24.0
2068,CENG220216,工程算法设计与模型求解,"张永海,方嘉宾",2.0,47.0
2069,POLI103614,形策2025春（专题十五：建设教育强国）苏玉波,苏玉波,0.0,2.0
2070,CLIM403448,外科学,"曹罡,马磊,刘阳,韩梅宁,李宗芳,李华,马建仓,杨佩,陆宏伟,闵卫利,管海涛,徐金锴,吴涛,李鹏,陈海文,郭振宇,单涛,张岩,张晋",3.5,84.0
2071,MECH311706,理论力学,王芳文,3.5,56.0
2072,MATL401302,材料性能与测试技术实验,"牛靖,陈凯",1.0,32.0
2073,CLIM408848,临床技能学,"柏宏亮,卢群,辛爱利,姚博文",1.0,30.0
2074,MPRA200252,金工实习Ⅲ-2,"栗茂林,吴毅,崔琦,邵敏,沈瑶,张珂,祁小朋,孙毓忠",1.0,64.0
2075,ENGL204612,医学英语术语,张鹏,2.0,32.0
2076,MLMD191014,形势与政策,李家胜,2.0,32.0
2077,CHEM500709,绿色化学,王优良,2.0,32.0
2078,CHEM250109,医用有机化学,许昭,4.0,64.0
2079,CLIM400948,皮肤性病学,"周艳,刘文丽,张子茜,张键,穆欣",1.5,32.0
2080,ENGL200612,交流与表达（少年班）2,成旻,2.0,32.0
2081,MILI100554,国防教育,"张赟,闫忠林,问鸿滨",2.0,32.0
2082,BASM305848,基本科研素养,"刘进军,刘利英,赵四海,张澍,陈莉娜,翟中会,李冬民,孟列素",1.5,24.0
2083,MLMD196614,马克思主义基本原理,刘婧鸣,3.0,48.0
2084,CENG322016,化工原理-1,"康丽霞,李阳",3.0,56.0
2085,CHEM250109,医用有机化学,唐玉海,4.0,64.0
2086,MLMD199314,习近平新时代中国特色社会主义思想概论,杜晓燕,3.0,48.0
2087,ECND513219,实验经济学,张蕾,2.0,32.0
2088,BASM402548,医学实验方法与技术II,"胡浩,史小莲,赵铭",3.0,104.0
2089,ENGL207212,理解当代中国：英语读写,高洋,2.0,32.0
2090,MECH401206,振动力学,罗亚军,3.0,48.0
2091,POLI102714,形策2025春（专题五：台湾问题与两岸关系）李家胜,李家胜,0.0,2.0
2092,MLMD100214,中国近现代史纲要,刘哲民,2.0,32.0
2093,CHEM250309,医用有机化学实验,张东阳,1.5,48.0
2094,JZSJ200114,课程设计,宋希斌,1.0,0.0
2095,CENG422116,过程装备控制技术,"张早校,吴小梅,吴震,侯雄坡",2.5,56.0
2096,LAWS406724,民法分论,"薛华,马宁,曹晓路",4.0,64.0
2097,ENPO340803,工程热力学（英）,"辛楠,杜燊,杨富鑫",3.5,64.0
2098,CLIM402048,口腔科学,"陈曦,陶洪,李大旭,孙俊毅,赵亮,程百祥,吉玲玲,陈诚,李珏丹,杨利洒,崔敏,赵华翔,姚天华,程政,屈凌寒,李兴强",1.5,32.0
2099,JAPN541612,日语会话-2,KUGAWA MICHITAKE,2.0,32.0
2100,MLMD403114,西方哲学史,寇爱林,3.0,48.0
2101,MATH311207,复变函数,董荣,3.0,48.0
2102,VENG430501,车辆制造装备与系统,张大伟,1.5,24.0
2103,PHYS283509,大学物理学（实验）Ⅰ,"翟立朋,常凯歌",1.0,32.0
2104,0HYS303500,固体物理,张胜利,4.0,64.0
2105,INSM000232,智能感知工程导论,王琛英,1.0,16.0
2106,SCTR420116,化工设计,"黄哲庆,康丽霞",3.0,80.0
2107,CHEM400829,电化学基础,肖春辉,2.0,32.0
2108,MAGT420208,市场营销学,杨林岩,2.0,32.0
2109,MLMD196614,马克思主义基本原理,"王建辉,郭怡菲",3.0,48.0
2110,ARTS419110,设计技术-2,"何静,徐钰彬",2.0,32.0
2111,CLIM410148,女性生殖系统与疾病,"吕淑兰,韩蓁,宗璐,李春芳,黄谱,宋青,王慰敏,邹余粮,杨新园,杨筱凤,童国庆,陈茜,尉春艳,段钊,高庆,顾中亮,吴晓玲",2.0,44.0
2112,COMP401427,强化学习,薛建儒,2.0,32.0
2113,JAPN442712,基础日语-4,"张伟莉,KANETO SACHIKO",6.0,96.0
2114,MLMD199314,习近平新时代中国特色社会主义思想概论,孙宝玉,3.0,48.0
2115,MACH400501,机械制造技术基础,"吕盾,洪军",3.0,56.0
2116,STAT310708,应用统计实践,"孙静春,孙少龙",1.0,32.0
2117,AUTO402327,运动控制系统（钱）,刘小勇,2.5,48.0
2118,JAPN443312,日语视听说-4,张伟莉,2.0,32.0
2119,BASM304248,局部解剖学,"肖新莉,葛尧,任文婷,高菱鸽,陈新林,杨维娜,靳辉",2.5,64.0
2120,LITE500720,传播思想史,"张铁云,达雅楠",2.0,32.0
2121,INDE300601,机械设计基础Ⅲ,徐亮,2.5,48.0
2122,MATH413107,数值分析,梅立泉,3.0,48.0
2123,MPRA200452,金工实习Ⅰ,"栗茂林,郁志浩,周耀成,吴毅,张铭,李党超,加有维,崔琦,邵敏,沈瑶,曲滨,邓天鑫,张珂,赵宁,祁小朋,徐峰,孙毓忠,宋爱梅",2.0,64.0
2124,ACAU300108,金融学,乔政,2.5,48.0
2125,VENG510301,现代轨道车辆,李靖祥,2.0,40.0
2126,LAWS501224,亲属与继承法,曹晓路,2.0,32.0
2127,MATH411607,拓扑学,张强,3.0,48.0
2128,CHEM401329,有机光电原理及应用,"周桂江,杨晓龙,王栋东,孙源慧",2.0,32.0
2129,MILI100554,国防教育,"王志朋,问鸿滨,初阔林,徐宇春,闫忠林,李科,刘玉青,张昊",2.0,32.0
2130,MATH442607,矩阵分析,曾薇,3.0,48.0
2131,MECH901306,力学史,"谢勇,申胜平,许丁,徐光魁",1.0,16.0
2132,CHEM342009,有机化学实验-1,张莹,1.0,32.0
2133,MLMD191014,形势与政策,李家胜,2.0,32.0
2134,MECH402906,实验力学-1,"张舒文,王正锦",2.0,32.0
2135,FRAN445712,中级法语视听说-2,孟丽娜,2.0,32.0
2136,FORM400443,法医病理学,"王振原,刘新社,李涛,张玉向,阎春霞,樊栓良",7.5,160.0
2137,MATH297907,高等数学V,朱旭,4.0,64.0
2138,COMP462105,数据库系统,冯中慧,2.5,48.0
2139,INSM401304,MEMS传感器和执行器,"李运甲,王曙东",2.0,32.0
2140,MLMD100214,中国近现代史纲要,宋希斌,2.0,32.0
2141,MLMD196614,马克思主义基本原理,郭怡菲,3.0,48.0
2142,INDE500231,设计与建筑美学,"李晓玲,齐应涛",2.0,32.0
2143,FINA543519,财税应用研究基础,程可为,2.0,32.0
2144,CHEM249909,大学化学实验,郑阿群,1.0,32.0
2145,COMP201127,大学计算机 - 算法编程,房琛琛,3.0,52.0
2146,ELEC423704,电力系统稳态分析,"郝治国,杨松浩",4.0,68.0
2147,BESE900222,暖通空调综合设计,"孔琼香,张联英,关博文",3.5,96.0
2148,POLI102814,形策2025春（专题十：加快建设社会主义文化强国）冯亮,冯亮,0.0,2.0
2149,CHEM250309,医用有机化学实验,卢轩,1.5,48.0
2150,BIME514013,高等生物材料,"马玉菲,靳国瑞,魏钊",2.0,32.0
2151,INFT530105,信息论基础The Elements of Information Theory,王熠晨,2.5,40.0
2152,LITE101321,简明中国历史,李睿,2.0,32.0
2153,EVNG401203,专业综合实验,张瑜,2.0,64.0
2154,ENGL443412,英语演讲,刘睿,2.0,32.0
2155,TREC362719,产业经济学,蒋仁爱,2.5,48.0
2156,CLIM403148,眼科学,"雷剑琴,崔丽珺,吴捷,吴昌睿,赵文心,马波,刘轩",1.5,27.0
2157,ENPO420603,制冷与低温技术原理,"赵日晶,黄东,文键,谢福寿,刘晔,张兴群,李科",3.0,52.0
2158,ENPO341203,工程热力学Ⅰ,"刘迎文,张颖",3.5,64.0
2159,CHEM249909,大学化学实验,杨国鑫,1.0,32.0
2160,MATL400602,材料性能,"吴戈,刘博宇,李成新",3.0,48.0
2161,POLI103514,形策2025春（专题七：当前我国社会思潮新趋势及其影响）张楠,张楠,0.0,2.0
2162,MLMD100214,中国近现代史纲要,达雅楠,2.0,32.0
2163,FINA443619,随机过程,王坤,2.0,32.0
2164,PHYS260309,大学物理III,杨宏,4.0,64.0
2165,BIME900613,科研技能训练-1,"林敏,李剑君",0.5,16.0
2166,AUTO545805,计算智能,柯良军,2.0,32.0
2167,CODE510411,Linux操作系统应用开发训练,田丽华,1.0,32.0
2168,MATH010007,专业导论（数学类）,"郭士民,徐宗本,李丽敏,曾薇,喻达磊,杨树森,贾骏雄",1.0,16.0
2169,MILI100554,国防教育,"闫忠林,问鸿滨,张赟",2.0,32.0
2170,TREC461519,价格理论与实践,李江龙,2.0,32.0
2171,SOCL502310,老年社会学,陈滔,2.0,32.0
2172,MECH311906,基础力学实验-1,徐志敏,0.5,16.0
2173,MILI100554,国防教育,"初阔林,李科,张昊",2.0,32.0
2174,EARS501922,地球环境科学进展,"程海,蔡演军,王俊淇,高耀寰,姚远,孙长峰,李旭祥",2.0,32.0
2175,COMP401227,现代密码学,赵俊舟,2.0,32.0
2176,ENGL200312,阅读与写作（少年班）2,牛莉,2.0,32.0
2177,MATH201607,数学物理方程,王宇莹,2.0,32.0
2178,ARTS314510,设计概论,"牛琛富茜,吴雪,欧阳振宇",3.0,48.0
2179,BASM304348,医学微生物学,"陈艳炯,韩蕾,杨娥",3.0,56.0
2180,MATL400902,材料工程基础,"王玉,杨贺杰,张林杰",4.0,64.0
2181,FINA340319,金融学,"高蓓,张昭",2.5,48.0
2182,MECH401206,振动力学,"徐自力,谢石林",3.0,48.0
2183,AUTO400305,运筹学I,兰钰,3.0,48.0
2184,ELEC327604,电工电子技术-1,"朱远惟,王威望",3.0,48.0
2185,BIOL422913,生命科学综合实验-1,"孔宇,孙书洪,李华,侯占武",1.0,32.0
2186,LITE302721,汉语听力-2,冯潇,4.0,64.0
2187,COMP402027,计算机图形学,赵玺,2.0,32.0
2188,ELEC529304,电机测试技术,刘凌,2.0,32.0
2189,INFT300105,信号与系统Ⅰ,张建国,4.0,64.0
2190,MAGT303418,公共政策学,刘慧君,2.0,32.0
2191,BASM305948,人体分子与细胞,"李冬民,武一,杨娟,杨旭东,李海韵,陈妍珂",4.0,64.0
2192,FRAN445612,基础法语视听说-2,曾珠,2.0,32.0
2193,CHEM342009,有机化学实验-1,王婉秦,1.0,32.0
2194,MLMD191014,形势与政策,李家胜,2.0,32.0
2195,CHEM341909,物理化学实验-1,吴勇,1.0,32.0
2196,MLMD196614,马克思主义基本原理,范玉仙,3.0,48.0
2197,ENGL205212,国际人才英语,张静洁,2.0,32.0
2198,CHEM500529,有机结构分析,胡明友,2.0,32.0
2199,MECH403106,计算流体力学,陈春刚,2.0,36.0
2200,MACH400501,机械制造技术基础,李旸,3.0,56.0
2201,ARTS314410,Frontiers of Technology and Art,"赵一青,何静,徐钰彬",2.0,32.0
2202,MATL400602,材料性能,"单智伟,解德刚,周玉美",3.0,48.0
2203,CHEM250109,医用有机化学,饶彬,4.0,64.0
2204,LITE305821,中级汉语阅读2,邵一圃,4.0,64.0
2205,BASM304348,医学微生物学,"陈艳炯,韩蕾,杨娥",3.0,56.0
2206,MLMD199314,习近平新时代中国特色社会主义思想概论,冯峥,3.0,48.0
2207,PHLS301310,逻辑与批判性思维,"王伟,丁晓军",2.0,32.0
2208,PHMA500442,临床药物治疗学,"王陶陶,马文兵,游翠玉,景临林",2.0,32.0
2209,LAWS506824,国际知识产权法,权彦敏,2.0,32.0
2210,JZSJ900806,结构模块课程设计-1,秦庆华,0.5,16.0
2211,MACH390901,工程制图,杜洋,2.0,32.0
2212,EELC322604,数字电子技术,韩春阳,3.0,48.0
2213,ECMT481319,网络经济学,"王智鑫,徐晓瑜",2.0,34.0
2214,LAWS403624,经济法,"齐鹏,王碧",3.0,48.0
2215,MATL401202,金相制备与分析实验,"王红洁,孙巧艳,孙俊杰,王耿洁",1.0,32.0
2216,POLI102714,形策2025春（专题五：台湾问题与两岸关系）李家胜,李家胜,0.0,2.0
2217,BIOL521113,合成生物学,谭丹,2.0,32.0
2218,MPRA200252,金工实习Ⅲ-2,"栗茂林,吴毅,崔琦,邵敏,沈瑶,张珂,祁小朋,孙毓忠",1.0,64.0
2219,COMP201127,大学计算机 - 算法编程,张伟,3.0,52.0
2220,CLIM401948,皮肤性病学,"周艳,穆欣,韩丹,葛睿",1.5,27.0
2221,MAGT400142,药事管理学,"方宇,冯变玲,姜明欢,常捷,杨才君",3.0,48.0
2222,CODE420104,电子系统设计与实践,张虹,2.5,80.0
2223,POLI103514,形策2025春（专题七：当前我国社会思潮新趋势及其影响）张楠,张楠,0.0,2.0
2224,LITE500320,媒介理论研究与前沿,赵一菲,2.0,32.0
2225,FINA430619,算法与数据结构,李淑彪,2.0,32.0
2226,ENGL206512,学术英语听说,许梅,2.0,32.0
2227,MLMD196614,马克思主义基本原理,郭怡菲,3.0,48.0
2228,INTE454219,国际市场营销学,"袁晓玲,赵锴",2.0,40.0
2229,ENGL446112,综合英语：哲学,王非,3.0,48.0
2230,STAT370619,统计学,吴静娴,2.0,32.0
2231,ARCH542422,建筑初步设计与施工图设计,王佳,1.0,24.0
2232,NURS300248,护理人文素养,"周凯娜,方华,王小琴,杨磊",2.5,48.0
2233,POLI102814,形策2025春（专题十：加快建设社会主义文化强国）冯亮,冯亮,0.0,2.0
2234,ENGL110812,二外/英语-1,朱嘉春,2.0,32.0
2235,MATH544907,地学大数据分析,"王治国,吴帮玉",2.0,32.0
2236,ENGL442612,英语视听说（日英方向）-2,张莉,2.0,32.0
2237,CHEM341909,物理化学实验-1,王耿,1.0,32.0
2238,MACH391401,机械设计基础Ⅰ,"刘宏磊,朱建",4.0,72.0
2239,CLIM403748,内科学Ⅰ,"牛丹,吕晶,郝志明,解立怡,陈天君,孙吉平,任徽,杨世峰,李丹,党晓敏,朱柏,吕晓虹,李宏,浮姣,刘淑,贺雅毅,高楚淇,张勇,韩秀,赵晶,陈颖",3.5,72.0
2240,PHLS404110,西方哲学史I,"曹聪,王嘉新",4.0,64.0
2241,INTE551919,世界经济地理,杨少华,2.0,32.0
2242,SOFT400227,操作系统,田丽华,2.5,40.0
2243,JZSJ300122,建筑模型制作6,吴志勇,0.5,16.0
2244,ENPO341103,流体力学Ⅰ,付雷,3.5,64.0
2245,ENPO341003,自动控制原理Ⅰ,"郭朋华,王桂芳",2.5,52.0
2246,LITE535110,戏曲鉴赏,吴小侠,2.0,32.0
2247,PHYS215409,电磁学,陈晓林,4.0,64.0
2248,MAGT480808,社交网络与文本分析,刘跃文,2.0,32.0
2249,MLMD196614,马克思主义基本原理,卫离东,3.0,48.0
2250,LAWS405124,知识产权法Ⅰ,李晓鸣,2.0,32.0
2251,BASM311340,口腔局部解剖学,"胡明,任文婷,杨蓬勃,钱亦华",2.0,56.0
2252,ELEC427704,高电压技术,"穆海宝,李军浩,吕亮,杜佳",3.0,56.0
2253,MLMD100214,中国近现代史纲要,李园园,2.0,32.0
2254,ARCH500431,历史建筑保护概论,"ValeriaNatalinaPracchi,徐怡珊",3.0,48.0
2255,LAWS401624,劳动与社会保障法学,王玉苹,2.0,32.0
2256,ENGL201012,大学英语2（民族预科）,李蓓岚,4.0,64.0
2257,ELEC526504,高电压综合实验,"惠思思,吕亮",2.0,64.0
2258,XJLU300198,管理会计导论,曾卫红,5.0,150.0
2259,BASM310613,医学基础,"吴静,李延海",4.0,64.0
2260,ENGL200612,交流与表达（少年班）2,牛莉,2.0,32.0
2261,JZSJ901948,外科生产实习Ⅰ,马兴,18.0,720.0
2262,ELEC427704,高电压技术,"董明,任明,惠思思,吕亮",3.0,56.0
2263,AASP503006,飞行器气动课程设计,姬兴,1.0,32.0
2264,ENPO421003,发动机原理与构造,"王金华,刘圣华,魏衍举,李倩倩,黄佐华,杨锐",3.0,60.0
2265,MAGT501218,保险学,杨潇,2.0,32.0
2266,MLMD199314,习近平新时代中国特色社会主义思想概论,李晓利,3.0,48.0
2267,MATL200102,工程材料基础,"王亚强,程鹏明",3.0,56.0
2268,LITE303221,综合医学汉语2,周瑜洁,4.0,64.0
2269,MLMD100214,中国近现代史纲要,赵斌,2.0,32.0
2270,MLMD191014,形势与政策,李家胜,2.0,32.0
2271,LITE303221,综合医学汉语2,张爱珍,4.0,64.0
2272,ARCH901222,建筑模型制作-1,吴志勇,1.0,32.0
2273,MLMD199314,习近平新时代中国特色社会主义思想概论,张振,3.0,48.0
2274,LITE307021,汉语综合-2,张知倞,4.0,64.0
2275,JZSJ900121,中国传统文化实践-2,孙立滨,1.0,16.0
2276,MLMD199314,习近平新时代中国特色社会主义思想概论,邱雨,3.0,48.0
2277,MLMD199314,习近平新时代中国特色社会主义思想概论,王茜,3.0,48.0
2278,ELEC427304,大数据科学与应用技术,焦在滨,2.0,32.0
2279,ECND302518,宏观经济学Ⅲ,杜巍,2.0,32.0
2280,BICH300940,生物化学,"马捷,蒋晓刚",2.0,32.0
2281,FINA443219,数字经济概论,"林颖,樊仲琛",2.0,32.0
2282,SOCL503010,人类学,缪晓雷,2.0,32.0
2283,FINA442019,税务筹划,"薛晓琳,张雅丽",2.0,36.0
2284,ELEC529504,智能电网储能应用技术,"王建学,孟永庆,张小亮",2.0,36.0
2285,ARTS418810,专业设计-2,石淑捷,4.0,64.0
2286,ECND513019,博弈论,王锋,2.0,32.0
2287,LITE303521,汉语口语-2,孔娟,6.0,96.0
2288,CHEM401929,合成化学创新实验,高国新,1.5,48.0
2289,MATH543007,数字图像处理,"孙剑,许翔宇",2.0,32.0
2290,SOFT900811,图像处理与机器视觉综合训练,田智强,0.5,16.0
2291,PHYS281809,大学物理实验I-1,王晨辉,1.0,32.0
2292,MECH312306,工程材料力学,刘睫,3.0,48.0
2293,MLMD100214,中国近现代史纲要,王书吟,2.0,32.0
2294,ENGL445712,综合英语：文学,王非,3.0,48.0
2295,INDE500431,智慧产品设计,"VenereFerraro,雷思梦",2.0,32.0
2296,MAGT373008,统计学,常象宇,2.0,32.0
2297,PHYS201128,电动力学,"田光善,赵迪",4.0,64.0
2298,MAGT420808,企业战略管理,杨建君,2.0,32.0
2299,BIME515113,医疗器械研发管理与产品认证,"李剑君,张博",2.0,40.0
2300,COMP460305,数据结构与算法II,杜友田,3.0,48.0
2301,CHEM250309,医用有机化学实验,王丽娟,1.5,48.0
2302,MATH295207,高等代数与几何I-2,"王卫,马世林",6.0,96.0
2303,CUIC401120,新媒体广告设计,刘婵君,3.0,48.0
2304,BASM400648,神经生物学,"吕海侠,陈新林,张智超,安晶,马凯歌",2.0,32.0
2305,POLI102614,形策2025春（专题六：当前我国社会思潮新趋势及其影响）高飞,高飞,0.0,2.0
2306,FINA442719,数字货币与金融风险管理,李锐,2.0,32.0
2307,MLMD196614,马克思主义基本原理,樊晓燕,3.0,48.0
2308,AUTO545705,网络与信息安全,沈超,2.0,40.0
2309,ARCH542022,世界遗产概论Introduction to World Heritage,李红艳,1.5,24.0
2310,BASM312540,生理学,"孟凯,陈丽,王涛,王玉英,齐杰",4.0,64.0
2311,ENGL533012,英语学术写作与展示,吴萍,2.0,32.0
2312,EELC321804,模拟电子技术,郭俊,4.0,64.0
2313,MACH390901,工程制图,王小章,2.0,32.0
2314,JAPN900612,演讲与辩论实训,KANETO SACHIKO,1.0,32.0
2315,BASM313440,药理学,"贺建宇,周筠,史小莲,贺熙",3.0,48.0
2316,ENGL532912,托福强化,林玉萍,2.0,32.0
2317,ENGL533012,英语学术写作与展示,吴萍,2.0,32.0
2318,ENGL900412,创新创业项目,张蕾,1.0,32.0
2319,MAGT472508,项目管理1,"何正文,肖忠东",2.0,32.0
2320,LAWS406724,民法分论,"薛华,曹晓路,马宁",4.0,64.0
2321,ARCH360722,住宅建筑设计原理,张定青,1.0,16.0
2322,JZSJ901948,外科生产实习Ⅰ,马兴,18.0,720.0
2323,CIVL422422,土木工程材料,"王剑云,侯健,侯月琴",2.0,46.0
2324,CHEM200629,基础化学Ⅰ,李健军,2.0,32.0
2325,ARTS418310,生态景观设计,杨眉,3.0,48.0
2326,ENGL535512,英语视听说-4,"吴洁莹,KALAYCI HASAN HUSEYIN",3.0,48.0
2327,BIME513213,生物传热与传质,"何晓聪,冯上升",2.0,32.0
2328,MLMD199314,习近平新时代中国特色社会主义思想概论,杨亚萍,3.0,48.0
2329,POLI103014,形策2025春（专题十二：新一轮科技革命的趋势与影响）岳潇,岳潇,0.0,2.0
2330,BASM312940,生物信息学,"韩蕾,陈艳炯,寻萌,杨娥,刘成程",1.5,32.0
2331,STOM404248,固定义齿修复学Ⅰ,"裴丹丹,甘婧,韩影,党薇,贺敏",3.0,80.0
2332,PHYS405609,粒子物理导论,李荣,2.0,32.0
2333,BIOL422013,发酵综合开放实验,高美丽,1.5,48.0
2334,LAWS406624,刑法分论,苏青,3.0,48.0
2335,STAT370619,统计学,吴静娴,2.0,32.0
2336,LAWS406924,商法,楼晓,2.0,32.0
2337,SOFT420911,软件工程经济学,王晨旭,2.0,32.0
2338,MLMD196614,马克思主义基本原理,李晶,3.0,48.0
2339,NUCL421003,核电厂系统与动力设备,"王成龙,秋穗正,单建强",2.5,40.0
2340,POLI102414,形策2025春（专题十四：新一轮科技革命的趋势与影响）刘珈彤,刘珈彤,0.0,2.0
2341,MILI100554,国防教育,"刘玉青,徐宇春,王志朋",2.0,32.0
2342,BEEA401022,建筑冷热源,"王沣浩,王志华",3.0,48.0
2343,EARS300722,环境生物学,"唐龙,刘宗宽,徐芙清,邓时海",3.0,56.0
2344,JZSJ300322,建筑模型制作2,吴志勇,0.5,16.0
2345,MLMD100214,中国近现代史纲要,高武,2.0,32.0
2346,PHYS546509,科研训练I,赵迪,1.0,32.0
2347,EELC300527,半导体物理与器件,赵小龙,4.0,64.0
2348,MLMD100214,中国近现代史纲要,赵斌,2.0,32.0
2349,INTE100119,经贸汉语,徐丽华,4.0,64.0
2350,NEEN400104,储能装置设计开发-2,宋政湘,3.5,104.0
2351,MLMD199314,习近平新时代中国特色社会主义思想概论,田建军,3.0,48.0
2352,ARCH544222,传统建筑理论（英）,周晶,1.5,24.0
2353,ENGL200312,阅读与写作（少年班）2,龚颖,2.0,32.0
2354,FRAN543812,法语系统语法,郭琳,2.0,32.0
2355,ELEC327604,电工电子技术-1,"刘晔,孙佳佳",3.0,48.0
2356,AUTO543205,“计算机控制技术”专题实验,景洲,1.0,32.0
2357,ENGL110912,二外/英语-3,赵葆珉,2.0,32.0
2358,PHYS546609,科研训练II,冯俊,1.0,32.0
2359,LITE302321,口腔医学汉语2,马萍,4.0,64.0
2360,EELC200227,半导体物理与器件专题实验2,杨明超,0.5,24.0
2361,ARTS315110,设计构成,"牛琛富茜,石淑捷",4.0,64.0
2362,CLIM402448,诊断学,"陈明伟,李红霞,路万虹,蒲丹,吕晶,刘星君,孙怡宁,吴迪,卢新兰,金李,樊萍,阳甜,肖懿慧,卢群,张勇,余航,韩秀,赵晶,陈颖,宋艳",5.5,120.0
2363,PHED900750,陆上赛艇,路海华,0.0,16.0
2364,ENGL533012,英语学术写作与展示,吴萍,2.0,32.0
2365,BIOL200413,生物2,闫菡,2.0,40.0
2366,COMP201127,大学计算机 - 算法编程,张喆,3.0,52.0
2367,STAT300141,生物统计学,"赵亚玲,李强",1.5,32.0
2368,CHEM249909,大学化学实验,张莹,1.0,32.0
2369,AASP414706,工程热力学II,武俊梅,3.0,48.0
2370,ENGL443212,口译实务-2,"李雅丽,常虹",1.5,24.0
2371,MAGT303118,应用统计学,"许永建,杨小军",4.0,64.0
2372,MACH501201,现代机器人技术,董霞,2.0,40.0
2373,MLMD196614,马克思主义基本原理,丁中正,3.0,48.0
2374,MLMD191014,形势与政策,李家胜,2.0,32.0
2375,MACH405501,智能制造执行系统技术,江平宇,3.0,72.0
2376,CHEM250309,医用有机化学实验,许昭,1.5,48.0
2377,MAGT501918,政府与企业,"刘朔,杜鸣溪",2.0,32.0
2378,JZSJ900622,创新创业实践IV,戴靓华,1.0,40.0
