,S#,C#,GRADE
11207,04012321,ER-05,72.6
11208,05023618,BM-43,
11209,09098143,JS-09,71.8
11210,09054708,MT-01,89.7
11211,03095294,MR-04,63.5
11212,04070241,AS-40,82.9
11213,03026173,CI-01,78.2
11214,08064018,BO-17,
11215,06054260,CE-03,85.9
11216,06048702,BS-16,75.1
11217,03020494,EL-27,62.5
11218,01099990,MT-01,88.5
11219,02010432,AT-21,59.2
11220,07068305,EP-06,70.9
11221,02039829,JP-16,55.5
11222,05075857,SO-01,72.3
11223,07095121,IF-03,68.5
11224,04029820,JS-28,60.9
11225,03053523,AC-24,90.4
11226,06070097,EE-61,82.9
11227,02038550,LW-05,78.7
11228,02038271,BS-01,68.9
11229,01037434,MM-10,60.1
11230,03079573,BS-37,68.2
11231,03067387,EN-26,82.0
11232,01048479,BS-02,64.0
11233,06036176,PY-36,
11234,04023537,BS-52,89.2
11235,05055745,ER-01,78.7
11236,08035677,ML-05,59.1
11237,07052981,CS-13,68.5
11238,02011192,MC-37,
11239,08042737,BM-02,
11240,09052483,PY-23,64.1
11241,01029406,AC-03,73.4
11242,05025057,ER-01,75.3
11243,09078533,EM-31,72.4
11244,09085773,IF-32,77.9
11245,05078938,MM-02,75.4
11246,08096380,BS-16,
11247,02037026,BS-31,81.1
11248,09054708,AS-40,71.4
11249,07024946,BS-52,85.1
11250,01029406,JS-02,75.9
11251,03054101,BS-01,68.5
11252,08064018,MT-21,58.6
11253,01039157,IF-01,73.5
11254,08078198,AC-03,71.4
11255,02039236,BO-05,59.2
11256,08066984,AT-36,72.4
11257,09039273,EG-06,67.1
11258,08045054,MT-28,
11259,07092967,BS-23,78.7
11260,03083091,JP-20,78.4
11261,06070097,JS-09,61.1
11262,08052292,CE-30,87.8
11263,04012923,MM-10,88.9
11264,04012479,IF-32,87.6
11265,09094366,LW-05,77.0
11266,09091934,AT-21,93.0
11267,07013102,BO-01,61.4
11268,05047495,FR-05,50.4
11269,01075029,MM-93,98.4
11270,07030136,EM-31,62.1
11271,05027472,EG-06,76.7
11272,08034773,LW-37,71.9
11273,02032606,EG-27,83.2
11274,06086271,MC-18,68.9
11275,01043271,PY-01,76.0
11276,06035339,FA-54,
11277,01035125,EE-82,91.8
11278,08067720,BS-37,74.1
11279,07035242,BM-02,68.2
11280,08093602,MT-07,72.9
11281,01060027,EL-04,89.9
11282,09022743,ER-05,77.4
11283,04094259,PY-02,75.3
11284,08041539,CN-01,75.6
11285,08094482,ID-04,73.3
11286,07067578,EE-82,80.9
11287,05051413,MC-18,60.1
11288,07055667,EP-06,73.3
11289,06040361,ID-04,70.3
11290,02038305,EE-29,75.2
11291,07013102,MT-26,
11292,01030135,CI-10,60.1
11293,09050530,MG-13,70.9
11294,03056662,EM-31,93.8
11295,05039869,MC-37,89.5
11296,02031402,EE-61,75.1
11297,07071929,EE-61,
11298,03034162,SO-01,97.2
11299,09036831,MM-10,56.7
11300,04041078,EN-26,65.2
11301,05023108,ID-22,84.4
11302,01011626,BS-02,49.0
11303,07057396,ML-05,68.9
11304,08076159,BS-23,77.9
11305,02020140,CE-03,67.3
11306,09078533,MT-28,74.4
11307,03086288,PY-23,
11308,05063232,EP-09,
11309,05033900,MC-20,74.4
11310,03076960,EE-33,63.8
11311,09092335,EN-26,68.8
11312,03037006,MR-02,62.6
11313,02039236,PY-36,73.7
11314,06057100,EP-09,83.8
11315,03069811,IF-01,47.6
11316,06039165,JP-11,78.8
11317,07060009,EL-02,
11318,06074200,ER-05,67.9
11319,03065064,MR-02,
11320,02038550,MG-01,73.4
11321,02026422,AC-03,94.5
11322,01071019,FR-05,76.4
11323,01018475,EL-30,78.5
11324,04078773,PY-05,64.7
11325,09051974,MM-02,76.7
11326,06090757,MG-13,70.4
11327,07086528,MT-07,56.3
11328,04073790,PY-04,67.7
11329,09046075,PY-38,65.9
11330,06034842,EG-03,
11331,06061345,FA-54,97.5
11332,02069863,AT-36,
11333,08050157,EE-33,84.7
11334,09050005,AS-40,
11335,08029061,AS-40,100.0
11336,08024443,PY-36,70.7
11337,07076705,EM-31,78.9
11338,05091350,LW-05,
11339,06074200,BS-01,77.7
11340,09047890,EE-29,68.1
11341,01079996,AC-03,65.5
11342,06019970,IS-01,76.3
11343,08065005,AT-22,83.6
11344,05017953,BO-17,76.8
11345,07068119,CI-01,92.5
11346,07076705,MT-01,77.0
11347,07012474,ID-22,
11348,07036610,LW-05,80.1
11349,06066774,EG-27,57.4
11350,06011098,MT-28,56.3
11351,03041683,CI-10,100.0
11352,07021959,PY-05,76.9
11353,07057815,JP-20,81.2
11354,08088780,MM-93,75.3
11355,06051375,CE-03,83.0
11356,02065521,PY-23,67.9
11357,02026771,AT-36,64.7
11358,01079996,EN-26,71.0
11359,07046428,EL-30,68.3
11360,04037121,JP-26,76.6
11361,08082531,JP-20,83.7
11362,02087815,ER-22,76.0
11363,09072324,BM-02,65.9
11364,02086241,EL-27,54.4
11365,08093602,BO-17,72.2
11366,05052039,EG-06,75.7
11367,01062467,MT-01,73.2
11368,07072522,PY-04,88.2
11369,06057100,FR-05,82.7
11370,04026621,BS-52,69.6
11371,05069269,MT-21,76.7
11372,02086995,LW-26,96.6
11373,06029824,MM-25,
11374,04078773,EL-30,77.0
11375,08088915,EG-03,70.4
11376,03075338,CE-30,72.3
11377,02095918,EG-06,92.8
11378,03075338,MC-20,
11379,06086790,PY-25,95.6
11380,08067720,PY-36,73.1
11381,03035342,BS-52,80.2
11382,05069060,BO-01,87.6
11383,06065382,EG-27,70.5
11384,09053917,IF-32,69.5
11385,08096350,PY-49,67.0
11386,03022192,EE-82,79.8
11387,01031476,MM-66,77.5
11388,03076509,CI-01,73.8
11389,01030040,EE-40,93.2
11390,07079141,MG-01,
11391,06019860,MC-09,74.7
11392,03093911,BS-01,74.6
11393,01032709,JS-28,65.1
11394,06014862,IT-44,75.6
11395,01060027,BO-17,60.2
11396,02069863,EL-04,54.5
11397,01030034,JS-09,97.2
11398,08042228,PY-49,74.8
11399,07099042,AT-31,87.7
11400,04049528,MC-20,79.6
11401,08075498,MM-25,86.1
11402,06040361,EL-04,70.7
11403,04017472,ID-04,75.8
11404,01028591,EG-27,61.9
11405,02019902,MC-20,80.3
11406,02091878,MM-66,48.1
11407,08058350,LW-26,71.8
11408,04074973,LW-32,57.6
11409,01053959,IF-01,83.7
11410,02018256,MM-93,
11411,06033244,AT-21,67.6
11412,04062691,BS-23,58.5
11413,09052483,CI-10,69.2
11414,03061607,EL-30,76.9
11415,08022145,MM-10,86.9
11416,07063955,MT-01,91.5
11417,08056892,EP-06,
11418,09035660,MT-07,71.7
11419,08072608,ML-05,
11420,04056356,MC-18,69.0
11421,06021270,PY-49,
11422,06012705,AC-20,71.1
11423,02087922,CE-30,68.9
11424,02077226,PY-02,77.0
11425,03068863,IS-01,69.4
11426,03064155,EM-31,99.7
11427,09099672,CS-11,
11428,01037495,LW-26,91.4
11429,02078339,BO-17,73.2
11430,06040361,BO-01,61.5
11431,04077368,BS-31,
11432,09026678,EG-03,75.0
11433,03056662,MG-81,69.0
11434,08041727,IF-03,61.2
11435,04026664,JS-09,72.5
11436,03027080,CS-13,
11437,09051974,AS-40,67.1
11438,08039904,FR-05,85.3
11439,06013048,BS-16,62.3
11440,05077130,JP-26,80.3
11441,08076159,EL-02,75.3
11442,06061345,JP-16,63.4
11443,06070097,CN-01,66.5
11444,07025848,AC-20,62.3
11445,09056888,CN-05,77.5
11446,09086924,MG-01,61.4
11447,05012228,CE-19,77.5
11448,01047459,MG-25,62.4
11449,03037006,MG-23,71.7
11450,04024533,FR-05,78.2
11451,05037414,EL-02,73.0
11452,06014611,EL-02,66.2
11453,02070650,EL-30,61.5
11454,08017492,NE-01,75.4
11455,05047495,EG-27,68.5
11456,03016320,CN-05,83.2
11457,05020572,MM-93,73.4
11458,07066794,ER-05,77.0
11459,05050351,MM-93,70.7
11460,06020005,MM-10,76.6
11461,08063228,LT-01,
11462,02089993,PY-25,
11463,09066291,BM-02,85.1
11464,03018455,JS-09,78.7
11465,05030499,EG-06,81.3
11466,07089798,MR-04,79.7
11467,09066291,EP-08,86.5
11468,04033649,EL-04,73.1
11469,02010432,MR-02,82.3
11470,05046008,SO-01,
11471,02098531,LW-05,
11472,07081966,BS-23,61.6
11473,08045054,PY-38,82.9
11474,08074384,MT-01,68.6
11475,06035344,FR-05,92.6
11476,08022145,AT-36,74.4
11477,05089946,MG-81,92.2
11478,06018282,MG-81,
11479,04099042,IT-44,81.0
11480,04058604,EG-65,65.5
11481,05048692,EG-06,85.2
11482,08089024,BO-17,53.1
11483,02018055,BS-16,66.8
11484,06034842,MM-25,74.1
11485,09062950,IS-14,81.7
11486,07012729,MM-02,74.9
11487,06034255,SO-01,
11488,01059997,ID-04,
11489,08012838,CI-01,60.3
11490,08019001,EL-02,75.3
11491,03087978,EP-03,89.0
11492,03093048,ER-05,82.3
11493,02020175,AT-31,83.7
11494,07084759,AT-36,56.7
11495,01073626,AC-24,67.3
11496,01088683,EE-40,
11497,05015898,LT-01,78.8
11498,09018279,MM-66,
11499,04070766,MC-20,
11500,07075783,EG-03,72.5
11501,01031983,MG-81,73.1
11502,03031839,AS-40,85.8
11503,08033134,AC-24,92.0
11504,08083690,AT-22,98.7
11505,09022743,EL-30,100.0
11506,04094259,JP-11,
11507,08024279,PY-49,
11508,02088518,AT-06,67.8
11509,02043096,BO-01,72.2
11510,02029103,BO-17,79.8
11511,02058381,FA-54,57.5
11512,02086995,NC-11,92.1
11513,07048403,JP-26,56.7
11514,03020253,EN-26,77.2
11515,09012360,EM-31,76.1
11516,09064551,MM-66,
11517,08083557,MR-04,72.1
11518,03095294,EL-27,76.8
11519,03033426,ER-01,79.2
11520,05052105,JP-16,77.5
11521,03058780,MC-18,71.9
11522,05046008,MM-93,56.9
11523,08012361,EP-06,51.2
11524,09050247,EE-40,77.9
11525,06042202,EL-30,67.6
11526,06087558,MG-81,73.9
11527,05063475,MG-23,
11528,08050314,AT-31,76.5
11529,02089645,IF-32,62.7
11530,07067514,EE-82,82.2
11531,03041683,EL-30,75.9
11532,03065064,JS-09,74.7
11533,09049112,MC-20,73.2
11534,03027080,BS-01,78.7
11535,02063649,MT-26,99.7
11536,05012228,EE-82,64.2
11537,06040361,MG-01,
11538,05023618,PY-04,75.5
11539,09084909,JS-02,67.8
11540,04059850,LW-26,76.5
11541,01025290,CN-01,76.3
11542,05020572,MG-01,
11543,03041683,BS-16,88.8
11544,08049761,EL-04,85.0
11545,03095294,PY-36,82.0
11546,06044963,SA-06,91.7
11547,02023976,AT-31,67.4
11548,03080165,AC-20,91.1
11549,05023108,MG-01,77.2
11550,02090381,BS-01,67.7
11551,09039649,CI-01,66.5
11552,05037689,ER-22,64.9
11553,09036831,EL-02,89.0
11554,07012298,NC-11,80.0
11555,02047674,PY-49,81.5
11556,09056888,MG-13,73.6
11557,05029102,CS-13,82.2
11558,07025848,PY-38,63.3
11559,07076705,BM-43,69.7
11560,06036617,AT-22,100.0
11561,02054242,EG-03,59.9
11562,06011161,BO-17,88.6
11563,08086264,MM-93,65.3
11564,01018475,AT-22,67.3
11565,04029778,LW-32,84.1
11566,04070766,MT-07,82.7
11567,06066774,EE-33,84.5
11568,05069060,SA-06,79.2
11569,08038007,LW-32,74.3
11570,08089628,AS-40,76.9
11571,05044897,EE-82,89.3
11572,06059017,AC-03,80.0
11573,02086995,BS-01,
11574,08044421,MM-93,67.1
11575,06096451,EE-82,72.0
11576,03074454,PY-04,65.5
11577,08078198,MR-04,79.3
11578,05025933,JP-11,82.6
11579,03076790,PY-36,80.4
11580,05043784,EE-86,77.3
11581,09054708,MG-23,66.1
11582,03060139,MC-20,
11583,04042506,LW-05,79.9
11584,05034440,IF-03,83.1
11585,04050586,MM-02,83.0
11586,08024586,PY-01,64.0
11587,08075498,PY-01,73.2
11588,01013510,AT-36,72.8
11589,06045346,ID-22,76.9
11590,09086924,BS-01,66.4
11591,06036617,BM-43,97.5
11592,03094075,NC-11,70.5
11593,02039829,SA-06,68.9
11594,04079885,EM-31,80.8
11595,04057002,MT-26,79.0
11596,09070260,EE-61,77.2
11597,05074742,EE-40,65.2
11598,09039273,PY-49,79.6
11599,06011024,BS-52,69.0
11600,02011192,MM-10,82.8
11601,01014586,JS-09,80.9
11602,01041723,RS-02,88.1
11603,07068119,LW-26,84.0
11604,07082361,MT-01,
11605,08058350,EL-02,74.1
11606,02078416,JP-20,75.5
11607,01015891,ER-01,88.8
11608,02018055,LW-26,83.2
11609,08083740,LW-37,
11610,05015919,LT-01,87.6
11611,07086494,CN-05,88.6
11612,02069894,MG-23,64.7
11613,09051974,ML-05,59.4
11614,08045054,BS-02,63.7
11615,02078416,MM-02,82.8
11616,01010701,MT-28,62.2
11617,04018490,LT-01,63.6
11618,01059997,CE-30,74.4
11619,01037434,EE-82,89.1
11620,07021649,MG-81,77.2
11621,08021001,EL-02,87.3
11622,03012870,CN-05,82.7
11623,08045054,EE-13,88.3
11624,01041723,AT-22,65.0
11625,02010432,EL-02,89.7
11626,06037185,LW-05,77.0
11627,06025929,CI-10,81.7
11628,05016498,JP-20,75.3
11629,08049761,EG-27,77.1
11630,03031113,LW-32,59.1
11631,03068513,JP-16,70.9
11632,02029944,PY-04,74.1
11633,03068268,CS-11,69.0
11634,04018048,EL-27,62.8
11635,07068305,BS-16,73.1
11636,05025933,BS-31,55.3
11637,04087133,CN-01,61.7
11638,08052127,PY-05,86.7
11639,03027321,BM-02,72.9
11640,09099086,BM-02,
11641,01011219,EL-27,
11642,04055242,MR-02,78.2
11643,03085128,CS-11,53.2
11644,05079363,CI-10,
11645,02019266,MM-25,
11646,01081707,MM-25,67.9
11647,08087260,BS-16,74.5
11648,03037006,PY-04,62.5
11649,01019245,AT-22,75.9
11650,09065956,AT-06,79.5
11651,07097247,IF-01,
11652,01078813,MM-66,72.6
11653,07060009,MG-01,71.5
11654,07048501,MR-02,61.7
11655,05020572,CS-11,98.7
11656,09017378,IF-32,67.5
11657,07053547,MG-23,81.8
11658,08065005,MT-21,58.7
11659,02010978,EL-02,76.2
11660,09072958,MT-01,73.7
11661,02040804,LW-05,64.7
11662,02091878,EL-30,71.2
11663,02077226,FR-05,61.8
11664,08050841,AT-22,70.8
11665,04093652,EE-40,75.1
11666,03096284,AT-31,
11667,07053547,MM-93,69.7
11668,04096802,EG-65,74.1
11669,06040539,IF-01,66.0
11670,01035125,MC-18,71.8
11671,09050054,EL-30,68.5
11672,04042724,MR-02,74.5
11673,02056761,JP-20,68.0
11674,08064572,EG-65,
11675,09091864,EG-65,
11676,06057480,EG-03,77.4
11677,07086487,MR-02,81.3
11678,09046233,EE-29,69.7
11679,04070766,AT-21,65.7
11680,01016866,AT-36,77.4
11681,01035125,JS-02,93.3
11682,08087402,AC-24,77.8
11683,05037414,MG-25,
11684,03038962,CS-11,75.9
11685,02046191,BO-05,70.9
11686,02030084,PY-04,74.7
11687,07081966,EG-27,61.5
11688,01035477,MM-66,74.3
11689,07049622,RS-02,85.4
11690,01024959,CS-13,
11691,03016898,PY-23,64.5
11692,03064742,IF-32,81.0
11693,09099672,MM-66,71.1
11694,04027619,BS-01,63.0
11695,03012870,LW-05,
11696,01030034,PY-01,60.3
11697,05054306,IS-14,
11698,02069863,BS-31,74.5
11699,08058504,CS-11,
11700,08047076,MC-09,45.7
11701,07081403,CE-19,74.0
11702,09062343,EG-03,83.3
11703,09030357,EG-65,85.5
11704,05082521,BO-17,88.7
11705,09029781,AT-22,72.8
11706,03016898,NC-11,95.4
11707,01032709,MM-66,
11708,01053959,LW-26,75.5
11709,01079996,MG-23,79.9
11710,02024393,IT-44,62.7
11711,05089946,MC-37,82.1
11712,02089645,EL-04,72.3
11713,09056217,JP-16,
11714,06013048,SO-01,61.2
11715,07068305,IF-01,66.5
11716,09070260,CE-30,70.2
11717,01032974,CN-05,73.6
11718,09016409,MC-20,70.2
11719,06092000,CE-03,84.1
11720,03071974,CI-10,66.0
11721,06040539,AC-03,60.0
11722,02053037,MM-66,75.2
11723,08029061,BM-02,70.1
11724,08010030,JP-20,
11725,03017596,EP-06,70.6
11726,01073626,EN-26,63.6
11727,02054615,CN-05,70.4
11728,07011458,PY-25,78.9
11729,03031839,MG-25,83.7
11730,06023929,MC-18,
11731,09015315,JP-11,78.3
11732,07027376,LW-26,83.5
11733,04046201,PY-04,
11734,05076613,MC-37,84.9
11735,05045976,PY-01,71.3
11736,03046688,PY-38,75.5
11737,07033528,EG-06,86.2
11738,07027376,CI-01,65.5
11739,09075190,CI-10,86.3
11740,02092526,PY-01,86.0
11741,05076597,LW-32,73.1
11742,07064135,IS-01,66.6
11743,07028368,MC-18,80.3
11744,08075485,EE-13,62.2
11745,01019846,MG-23,63.1
11746,08086874,MM-25,70.4
11747,04051242,SA-01,74.6
11748,02027352,CN-01,79.1
11749,03041683,PY-49,77.2
11750,09057515,AT-36,79.4
11751,06061345,BS-16,83.9
11752,09045686,EG-06,78.0
11753,03087978,MG-25,73.6
11754,06096451,BS-31,81.1
11755,02032606,MR-04,66.5
11756,01069558,IF-03,80.0
11757,01070270,EP-03,
11758,01011402,JS-28,86.8
11759,09096328,MT-01,77.7
11760,09091864,ER-22,85.1
11761,05031386,CE-19,76.9
11762,06044300,ER-05,83.9
11763,08042737,BS-01,84.8
11764,06015312,MM-66,
11765,09055285,EL-30,78.0
11766,01013510,ER-01,78.4
11767,05093783,EM-31,72.5
11768,08092153,SA-06,84.8
11769,04040766,EL-30,64.1
11770,08024443,EP-08,63.3
11771,09048091,ID-04,67.3
11772,06020483,BM-02,58.0
11773,05023618,BM-02,70.1
11774,09012360,CN-01,65.3
11775,08059032,JS-02,86.3
11776,06042202,EE-33,63.2
11777,08010030,LW-26,60.0
11778,04041154,MM-66,82.2
11779,08046693,BS-01,80.7
11780,02054242,EE-82,
11781,09030823,MM-10,83.6
11782,06061345,LT-01,
11783,02029249,EL-30,75.7
11784,01014586,LT-01,86.5
11785,09073619,CE-19,71.9
11786,03061768,SO-55,68.6
11787,08050841,PY-02,
11788,02077552,IF-01,72.9
11789,02067073,CE-19,76.5
11790,08023766,NC-11,70.4
11791,07058084,EE-86,63.9
11792,07085931,EG-65,64.5
11793,07057240,BS-37,69.2
11794,09039273,MM-10,73.0
11795,04070241,JP-16,73.5
11796,03053671,MT-21,77.1
11797,03059651,CE-19,71.6
11798,08058283,BS-23,89.9
11799,06083736,EP-06,78.0
11800,03059651,MC-09,91.1
11801,08055922,CS-13,49.6
11802,01019000,LW-37,74.5
11803,06034842,BS-23,73.6
11804,09018279,PY-04,64.1
11805,06020525,PY-25,82.2
11806,09063417,EP-08,78.7
11807,05017953,BO-01,97.5
11808,03031972,JS-09,72.5
11809,08086874,AT-36,81.4
11810,01035477,SO-01,93.2
11811,06054431,MC-20,88.8
11812,09094366,SO-55,82.8
11813,07036610,AS-40,80.6
11814,04029677,PY-36,80.8
11815,05012228,ID-22,69.2
11816,09061064,IF-01,95.1
11817,06039165,MC-37,75.6
11818,01028781,MC-20,72.6
11819,07052981,MG-13,81.1
11820,03017596,LW-37,83.0
11821,08021001,EL-30,
11822,07081403,ID-04,82.8
11823,04087010,EP-03,65.4
11824,09056888,EE-13,91.9
11825,05031283,IF-32,80.7
11826,07052981,BS-02,75.1
11827,03038256,JS-09,80.3
11828,03068863,BO-17,
11829,06013441,EN-26,81.6
11830,06076543,MG-23,72.8
11831,03098635,EL-27,74.1
11832,02087815,PY-01,
11833,07077034,BM-43,51.1
11834,02091878,PY-04,74.6
11835,01051545,EG-65,70.6
11836,08058687,EL-27,88.1
11837,04059895,EE-33,73.9
11838,05076171,PY-02,
11839,03024874,RS-02,67.1
11840,08096380,ID-04,80.5
11841,09066291,MC-18,93.4
11842,07071929,EP-06,69.9
11843,02049888,MM-25,76.6
11844,08049761,CN-05,86.8
11845,07079141,MT-28,70.4
11846,02077552,LW-26,64.8
11847,01039157,SA-01,74.0
11848,05093315,CN-01,61.2
11849,09063417,LW-05,77.9
11850,03022192,EN-26,74.8
11851,07083618,CI-10,78.8
11852,08087260,NE-01,68.5
11853,02047881,EL-04,67.8
11854,01033386,EE-33,
11855,01027682,AC-24,76.4
11856,01048560,LW-37,75.1
11857,08063533,NC-11,80.7
11858,06014611,MT-01,71.3
11859,06024137,MC-20,89.7
11860,08060753,AT-22,66.0
11861,04057002,EE-33,88.9
11862,08075485,JP-20,79.9
11863,02054242,PY-38,74.4
11864,08046279,MC-20,74.3
11865,07039838,MR-04,80.5
11866,09066586,JP-11,68.9
11867,06095862,CE-19,75.2
11868,05031283,BS-16,71.1
11869,07026477,EL-27,66.3
11870,02024393,BS-01,82.0
11871,03067387,EE-86,73.4
11872,02027352,EM-31,99.3
11873,09062343,RS-02,
11874,06023929,BS-16,
11875,07066794,EE-86,
11876,06025929,BO-17,63.7
11877,06036617,MR-04,68.8
11878,02039236,LW-05,75.9
11879,07033537,PY-01,64.0
11880,07029609,EP-06,
11881,05044897,AT-31,81.7
11882,05090477,SO-55,68.5
11883,04024533,MM-25,63.7
11884,03069811,NE-01,72.0
11885,07082361,EL-02,65.5
11886,08081931,JS-28,89.1
11887,08051571,FR-05,78.1
11888,08052127,ER-01,77.1
11889,01045664,CS-13,69.0
11890,02049888,BS-01,82.2
11891,08035677,BS-16,71.4
11892,04087133,BS-02,72.9
11893,06070748,AT-22,74.0
11894,06070748,PY-02,58.6
11895,01070270,BM-43,85.2
11896,06035344,ML-05,61.5
11897,02069863,CS-11,75.8
11898,09079115,BS-52,88.1
11899,03096637,IF-32,67.5
11900,09066291,IF-32,90.1
11901,07057815,EE-40,68.9
11902,01044180,BO-01,86.3
11903,05077134,AT-22,75.6
11904,09022690,PY-04,76.0
11905,05064658,BM-02,
11906,06069665,BO-17,70.2
11907,01014586,SO-01,65.7
11908,04052293,MM-02,80.9
11909,02020175,MM-02,71.8
11910,05038778,PY-36,69.9
11911,05058022,IF-32,79.2
11912,07035567,BS-02,84.1
11913,04059565,NE-01,82.8
11914,01028180,PY-25,45.4
11915,08087402,BS-31,77.9
11916,04070241,PY-04,66.0
11917,06047810,MR-04,90.4
11918,04018490,PY-23,73.0
11919,06086271,MT-28,72.0
11920,05068455,AC-24,54.6
11921,03038256,MT-21,87.4
11922,06044963,BO-01,74.9
11923,01067285,SO-55,85.6
11924,07030039,CS-11,87.2
11925,06070097,PY-23,59.8
11926,04073388,PY-25,84.0
11927,09065956,ER-22,90.7
11928,04034407,JP-11,71.8
11929,06070097,CE-30,86.9
11930,03065566,JS-28,55.9
11931,05085088,PY-05,76.1
11932,08047813,JP-20,85.9
11933,04077368,EN-26,73.3
11934,06060492,MC-09,82.0
11935,08078198,EG-27,60.0
11936,06068020,AS-40,92.0
11937,04056678,NE-01,85.8
11938,02071233,MM-02,81.8
11939,09061136,EL-02,69.2
11940,06035676,MG-25,86.6
11941,06095862,MM-02,65.3
11942,08012838,AT-31,52.7
11943,03069811,ER-05,78.3
11944,08037976,BO-17,84.1
11945,04015900,EL-30,65.2
11946,06025929,MG-81,74.4
11947,02016175,AC-24,70.0
11948,02086995,PY-49,82.0
11949,02010432,NC-11,78.8
11950,07068390,LW-05,76.9
11951,02020175,AC-03,92.3
11952,06036617,MG-81,70.4
11953,05038778,SO-55,78.5
11954,06055388,LW-26,83.9
11955,04079450,ER-01,46.4
11956,02074357,MT-07,69.6
11957,08010030,PY-04,63.9
11958,09056888,AT-36,81.8
11959,05079363,EP-06,84.3
11960,09067669,LW-37,71.6
11961,01041353,PY-23,86.4
11962,02031402,FA-54,80.6
11963,06015406,MC-37,79.4
11964,01028591,MG-81,63.1
11965,09083156,SA-01,91.2
11966,03095294,CS-11,78.1
11967,03038962,MT-26,62.4
11968,08028918,LW-26,71.4
11969,06050027,EG-03,71.3
11970,02099875,JP-20,92.4
11971,09064178,NE-01,70.8
11972,07066663,BM-43,
11973,04034407,EP-09,81.2
11974,08081931,CE-30,76.3
11975,04084568,SA-06,
11976,09063261,CI-10,
11977,01014586,EP-09,
11978,02087213,MR-02,78.3
11979,09096328,BS-37,80.7
11980,09046805,CI-10,65.4
11981,04018048,EP-03,64.8
11982,04056711,SO-01,71.7
11983,03036158,SO-55,75.1
11984,06087643,MC-18,79.7
11985,09060745,PY-02,85.4
11986,01025290,PY-23,68.6
11987,05074742,BS-16,73.7
11988,09098143,MM-93,81.1
11989,07014580,AT-36,92.7
11990,06089284,PY-04,
11991,01076288,MG-13,86.8
11992,05090473,CE-03,89.5
11993,04094259,IF-03,74.6
11994,03053523,BM-02,54.9
11995,08066942,EP-03,79.7
11996,03040175,IS-14,60.3
11997,02047674,EM-31,66.1
11998,09067669,MG-13,77.8
11999,09046233,CN-01,
12000,01035477,ER-01,61.1
12001,02016175,EE-40,82.3
12002,01019000,MC-18,83.5
12003,05046008,IF-03,84.2
12004,08058316,SO-01,63.6
12005,04029820,EP-03,77.7
12006,09011968,EE-33,76.8
12007,09039649,JP-26,78.7
12008,01029406,MM-02,74.8
12009,08096006,MG-23,72.1
12010,01078443,AC-20,82.3
12011,04031607,BM-02,73.1
12012,09070260,BO-01,80.2
12013,08091839,JP-26,
12014,08058687,ID-04,62.9
12015,07049737,EE-82,78.7
12016,03080234,BO-17,64.8
12017,07072132,JP-20,81.6
12018,09053917,MC-18,
12019,05090477,MM-93,66.5
12020,08036336,EP-06,67.1
12021,08025229,EE-33,78.8
12022,06021270,EP-09,84.6
12023,08065005,IT-44,
12024,06055388,PY-02,76.4
12025,06083736,EE-33,72.0
12026,04029778,ID-04,65.8
12027,08075485,MG-01,81.3
12028,04061598,AC-03,60.0
12029,09015315,EP-08,91.5
12030,01044180,MG-23,55.0
12031,08083557,JS-28,61.6
12032,05029102,MC-18,63.7
12033,09016409,LW-37,81.3
12034,02030084,MC-09,87.9
12035,03085128,CN-05,66.8
12036,06063952,EL-30,69.7
12037,01059997,AT-22,58.8
12038,05052073,JS-09,87.1
12039,06091767,ID-22,69.7
12040,09063201,AT-06,70.0
12041,01053119,MC-37,80.1
12042,09074178,ID-04,76.7
12043,01091559,CI-10,67.4
12044,01078246,MC-20,58.9
12045,05058022,SA-01,65.7
12046,01071019,MM-25,82.3
12047,01041037,LW-32,87.1
12048,05093783,MC-09,87.2
12049,01044017,AC-24,74.3
12050,06057480,JS-02,78.2
12051,03080165,IS-14,82.3
12052,04059895,CE-30,96.0
12053,06077952,CN-05,70.6
12054,09063261,ID-22,82.2
12055,07095207,PY-02,67.5
12056,02071347,JS-09,74.3
12057,07065916,PY-01,83.7
12058,04097463,CS-13,79.3
12059,05079363,MC-09,83.1
12060,07033537,IF-01,76.4
12061,01044180,EG-06,80.8
12062,06066774,EE-40,83.7
12063,06086271,BS-01,79.8
12064,06012705,EG-27,74.6
12065,05037414,EL-04,80.9
12066,02039533,FA-54,82.1
12067,06011273,JS-28,54.3
12068,02026771,LW-37,
12069,08073526,IS-14,72.6
12070,02095193,EP-09,82.7
12071,05025933,AC-20,75.8
12072,02029249,SO-55,58.9
12073,08066984,ER-01,76.5
12074,03081873,EE-29,78.7
12075,09081739,JS-09,84.0
12076,04097463,AS-40,71.0
12077,02019902,EE-13,71.2
12078,08096866,JP-16,91.2
12079,07089798,EE-40,70.2
12080,07044421,BS-37,79.6
12081,01016866,AS-40,78.8
12082,01029406,BS-16,73.4
12083,04023537,JP-20,78.4
12084,09050054,IF-01,
12085,03081873,AC-24,58.9
12086,05052039,MM-66,74.0
12087,08095865,CE-03,
12088,09096328,EE-82,79.1
12089,08021480,BO-05,
12090,07055667,LW-37,77.6
12091,01041920,BS-23,80.8
12092,03095871,LW-26,70.0
12093,06041260,PY-49,76.8
12094,07037289,JS-28,
12095,05093315,EG-06,61.7
12096,09039752,LW-26,71.1
12097,07091634,BO-05,71.9
12098,03013234,EN-26,77.6
